accuracy,loss,val_accuracy,val_loss,learning_rate
0.5408439636230469,1.0826846361160278,0.6724738478660583,0.7939938902854919,0.0010000000474974513
0.7131242752075195,0.7415562868118286,0.7421602606773376,0.6827533841133118,0.0010000000474974513
0.758420467376709,0.6569364070892334,0.8013937473297119,0.6068176627159119,0.0010000000474974513
0.7692605257034302,0.6078630685806274,0.8083623647689819,0.5883702635765076,0.0010000000474974513
0.783197820186615,0.5655677914619446,0.7630661725997925,0.6347128748893738,0.0010000000474974513
0.8075881004333496,0.5327330827713013,0.815330982208252,0.5441803336143494,0.0010000000474974513
0.8048780560493469,0.5301636457443237,0.8222996592521667,0.5507946014404297,0.0010000000474974513
0.8157181739807129,0.5004459619522095,0.8257839679718018,0.5213219523429871,0.0010000000474974513
0.8199767470359802,0.48229730129241943,0.8118466734886169,0.5187665820121765,0.0010000000474974513
0.816105306148529,0.4831309914588928,0.815330982208252,0.5298843383789062,0.0010000000474974513
0.8157181739807129,0.47862303256988525,0.8257839679718018,0.5137607455253601,0.0003000000142492354
0.8188153505325317,0.4710724651813507,0.8083623647689819,0.5352450609207153,0.0003000000142492354
0.826945424079895,0.4606127440929413,0.8257839679718018,0.5169532895088196,9.000000136438757e-05
